
SetupTitle, HEMT_transfer
PrimitiveTest, I/V Sweep
DataValue, 5, 1.5110000000000001E-12, -1.3000000000000002E-10, -2.1500000000000004, 2.5183333333333336E-11, 2.166666666666667E-09, -3.1666666666666658E-12
DataValue, 5, 1.452E-12, -1.2E-10, -2.1, 2.42E-11, 2E-09, -1.133333333333331E-11
DataValue, 5, 1.4430000000000002E-12, -1.2E-10, -2.0500000000000003, 2.4050000000000004E-11, 2E-09, 3.6666666666666895E-12
DataValue, 5, 1.4740000000000002E-12, -1.2E-10, -2, 2.456666666666667E-11, 2E-09, -1.4166666666666669E-11
DataValue, 5, 1.358E-12, -1.1000000000000001E-10, -1.9500000000000002, 2.2633333333333335E-11, 1.8333333333333336E-09, -1.6666666666666696E-11
DataValue, 5, 1.3740000000000002E-12, -1.2E-10, -1.9000000000000001, 2.2900000000000003E-11, 2E-09, 3.3333333333333513E-12
DataValue, 5, 1.3780000000000002E-12, -1.2E-10, -1.85, 2.2966666666666671E-11, 2E-09, 1.2833333333333317E-11
DataValue, 5, 1.4510000000000002E-12, -1.2E-10, -1.8, 2.4183333333333336E-11, 2E-09, 3.1666666666666727E-12
DataValue, 5, 1.3970000000000002E-12, -1.1000000000000001E-10, -1.7500000000000002, 2.3283333333333338E-11, 1.8333333333333336E-09, 2.0000000000000024E-12
DataValue, 5, 1.4630000000000001E-12, -1.1000000000000001E-10, -1.7000000000000002, 2.4383333333333336E-11, 1.8333333333333336E-09, 1.1666666666666358E-12
DataValue, 5, 1.404E-12, -1.1000000000000001E-10, -1.6500000000000001, 2.34E-11, 1.8333333333333336E-09, -1.1666666666666681E-12
DataValue, 5, 1.456E-12, -1.1000000000000001E-10, -1.6, 2.4266666666666669E-11, 1.8333333333333336E-09, 7.8499999999999936E-11
DataValue, 5, 1.875E-12, -1.1000000000000001E-10, -1.55, 3.125E-11, 1.8333333333333336E-09, 4.33833333333334E-10
DataValue, 5, 4.059E-12, -1.2E-10, -1.5000000000000002, 6.7650000000000007E-11, 2E-09, 2.943000000000004E-09
DataValue, 5, 1.9533000000000002E-11, -1.1000000000000001E-10, -1.4500000000000002, 3.2555000000000003E-10, 1.8333333333333336E-09, 1.8418333333333319E-08
DataValue, 5, 1.14569E-10, -1.1000000000000001E-10, -1.4000000000000001, 1.9094833333333336E-09, 1.8333333333333336E-09, 1.4106783333333323E-07
DataValue, 5, 8.6594E-10, -1.1000000000000001E-10, -1.35, 1.4432333333333334E-08, 1.8333333333333336E-09, 8.3246849999999931E-07
DataValue, 5, 5.10938E-09, -1.0000000000000002E-10, -1.3, 8.5156333333333341E-08, 1.6666666666666669E-09, 4.3533933333333294E-06
DataValue, 5, 2.6986299999999997E-08, -1.1000000000000001E-10, -1.25, 4.4977166666666664E-07, 1.8333333333333336E-09, 1.6393436666666686E-05
DataValue, 5, 1.0347E-07, -1.1000000000000001E-10, -1.2000000000000002, 1.7245E-06, 1.8333333333333336E-09, 4.6515283333333396E-05
DataValue, 5, 3.06078E-07, -8.0000000000000008E-11, -1.1500000000000001, 5.1013E-06, 1.3333333333333335E-09, 0.00013139233333333322
DataValue, 5, 8.91824E-07, -1.0000000000000002E-10, -1.1, 1.4863733333333335E-05, 1.6666666666666669E-09, 0.00036266866666666639
DataValue, 5, 2.48209E-06, -1.1000000000000001E-10, -1.05, 4.1368166666666668E-05, 1.8333333333333336E-09, 0.00091335266666666608
DataValue, 5, 6.371940000000001E-06, -1.1000000000000001E-10, -1, 0.00010619900000000002, 1.8333333333333336E-09, 0.0021021016666666671
DataValue, 5, 1.5094700000000001E-05, -1.0000000000000002E-10, -0.95000000000000007, 0.00025157833333333334, 1.6666666666666669E-09, 0.0041444433333333343
DataValue, 5, 3.12386E-05, -1.0000000000000002E-10, -0.9, 0.00052064333333333337, 1.6666666666666669E-09, 0.0072176500000000025
DataValue, 5, 5.8400600000000005E-05, -1.1000000000000001E-10, -0.85000000000000009, 0.00097334333333333348, 1.8333333333333336E-09, 0.011070566666666669
DataValue, 5, 9.7662E-05, -1.1000000000000001E-10, -0.8, 0.0016277000000000002, 1.8333333333333336E-09, 0.015464400000000003
DataValue, 5, 0.000151187, -1.0000000000000002E-10, -0.75000000000000011, 0.0025197833333333334, 1.6666666666666669E-09, 0.019334333333333335
DataValue, 5, 0.000213668, -1.1000000000000001E-10, -0.70000000000000007, 0.0035611333333333333, 1.8333333333333336E-09, 0.022598833333333318
DataValue, 5, 0.00028678000000000004, -1.0000000000000002E-10, -0.65, 0.0047796666666666673, 1.6666666666666669E-09, 0.025788166666666681
DataValue, 5, 0.000368397, -1.0000000000000002E-10, -0.60000000000000009, 0.0061399500000000008, 1.6666666666666669E-09, 0.028521333333333343
DataValue, 5, 0.00045790800000000003, -1.0000000000000002E-10, -0.55, 0.0076318000000000011, 1.6666666666666669E-09, 0.031106666666666644
DataValue, 5, 0.00055503700000000009, -9.0000000000000012E-11, -0.5, 0.0092506166666666678, 1.5000000000000002E-09, 0.03316149999999999
DataValue, 5, 0.000656877, -1.0000000000000002E-10, -0.45, 0.010947950000000001, 1.6666666666666669E-09, 0.03480783333333335
DataValue, 5, 0.000763884, -1.0000000000000002E-10, -0.4, 0.012731400000000002, 1.6666666666666669E-09, 0.036488833333333345
DataValue, 5, 0.00087581000000000009, -1.0000000000000002E-10, -0.35000000000000003, 0.014596833333333335, 1.6666666666666669E-09, 0.037809666666666658
DataValue, 5, 0.000990742, -1.0000000000000002E-10, -0.30000000000000004, 0.016512366666666667, 1.6666666666666669E-09, 0.038974499999999974
DataValue, 5, 0.001109657, -1.0000000000000002E-10, -0.25, 0.018494283333333333, 1.6666666666666669E-09, 0.040798
DataValue, 5, 0.00123553, -1.0000000000000002E-10, -0.2, 0.020592166666666668, 1.6666666666666669E-09, 0.041397166666666686
DataValue, 5, 0.00135804, -9.0000000000000012E-11, -0.15000000000000002, 0.022634, 1.5000000000000002E-09, 0.041741666666666663
DataValue, 5, 0.00148598, -9.0000000000000012E-11, -0.1, 0.024766333333333335, 1.5000000000000002E-09, 0.043089999999999996
DataValue, 5, 0.00161658, -9.0000000000000012E-11, -0.05, 0.026943, 1.5000000000000002E-09, 0.043868333333333329
DataValue, 5, 0.00174919, -9.0000000000000012E-11, 0, 0.029153166666666668, 1.5000000000000002E-09, 0.044478333333333314
DataValue, 5, 0.00188345, -9.0000000000000012E-11, 0.05, 0.031390833333333333, 1.5000000000000002E-09, 0.04533666666666665
DataValue, 5, 0.00202121, -9.0000000000000012E-11, 0.1, 0.033686833333333333, 1.5000000000000002E-09, 0.046280000000000064
DataValue, 5, 0.0021611300000000003, -8.0000000000000008E-11, 0.15000000000000002, 0.03601883333333334, 1.3333333333333335E-09, 0.046928333333333336
DataValue, 5, 0.00230278, -8.0000000000000008E-11, 0.2, 0.038379666666666666, 1.3333333333333335E-09, 0.04749333333333329
DataValue, 5, 0.00244609, -9.0000000000000012E-11, 0.25, 0.040768166666666668, 1.5000000000000002E-09, 0.047911666666666713
DataValue, 5, 0.00259025, -9.0000000000000012E-11, 0.30000000000000004, 0.043170833333333339, 1.5000000000000002E-09, 0.048604999999999954
DataValue, 5, 0.00273772, -9.0000000000000012E-11, 0.35000000000000003, 0.045628666666666665, 1.5000000000000002E-09, 0.049078333333333279
DataValue, 5, 0.00288472, -9.0000000000000012E-11, 0.4, 0.048078666666666665, 1.5000000000000002E-09, 0.049641666666666737
DataValue, 5, 0.00303557, -8.0000000000000008E-11, 0.45, 0.050592833333333337, 1.3333333333333335E-09, 0.050383333333333405
DataValue, 5, 0.00318702, -9.0000000000000012E-11, 0.5, 0.053117000000000004, 1.5000000000000002E-09, 0.050679999999999947
DataValue, 5, 0.00333965, -9.0000000000000012E-11, 0.55, 0.055660833333333333, 1.5000000000000002E-09, 0.0511733333333333
DataValue, 5, 0.0034940600000000002, -9.0000000000000012E-11, 0.60000000000000009, 0.058234333333333339, 1.5000000000000002E-09, 0.051668333333333372
DataValue, 5, 0.00364966, -9.0000000000000012E-11, 0.65, 0.060827666666666669, 1.5000000000000002E-09, 0.052049999999999957
DataValue, 5, 0.00380636, -9.0000000000000012E-11, 0.70000000000000007, 0.063439333333333334, 1.5000000000000002E-09, 0.052443333333333321
DataValue, 5, 0.00396432, -9.0000000000000012E-11, 0.75000000000000011, 0.066072, 1.5000000000000002E-09, 0.052665000000000087
DataValue, 5, 0.00412235, -9.0000000000000012E-11, 0.8, 0.068705833333333341, 1.5000000000000002E-09, 0.052748333333333411
DataValue, 5, 0.00428081, -8.0000000000000008E-11, 0.85000000000000009, 0.071346833333333345, 1.3333333333333335E-09, 0.052966666666666731
DataValue, 5, 0.00444015, -8.0000000000000008E-11, 0.9, 0.074002500000000013, 1.3333333333333335E-09, 0.053441666666666512
DataValue, 5, 0.00460146, -8.0000000000000008E-11, 0.95000000000000007, 0.076691, 1.3333333333333335E-09, 0.053941666666666596
DataValue, 5, 0.0047638, -8.0000000000000008E-11, 1, 0.079396666666666671, 1.3333333333333335E-09, 0.054306666666666684
DataValue, 5, 0.0049273, -8.0000000000000008E-11, 1.05, 0.082121666666666662, 1.3333333333333335E-09, 0.054353333333333288
DataValue, 5, 0.00508992, -8.0000000000000008E-11, 1.1, 0.084832, 1.3333333333333335E-09, 0.054120000000000092
DataValue, 5, 0.0052520200000000005, -8.0000000000000008E-11, 1.1500000000000001, 0.087533666666666676, 1.3333333333333335E-09, 0.054061666666666654
DataValue, 5, 0.00541429, -8.0000000000000008E-11, 1.2000000000000002, 0.090238166666666675, 1.3333333333333335E-09, 0.054641666666666658
DataValue, 5, 0.00557987, -8.0000000000000008E-11, 1.25, 0.092997833333333335, 1.3333333333333335E-09, 0.055176666666666645
DataValue, 5, 0.00574535, -7E-11, 1.3, 0.095755833333333332, 1.1666666666666668E-09, 0.055093333333333334
DataValue, 5, 0.00591043, -7E-11, 1.35, 0.098507166666666673, 1.1666666666666668E-09, 0.054966666666666726
DataValue, 5, 0.0060751500000000005, -7E-11, 1.4000000000000001, 0.10125250000000001, 1.1666666666666668E-09, 0.055153333333333394
DataValue, 5, 0.0062413500000000005, -7E-11, 1.4500000000000002, 0.10402250000000002, 1.1666666666666668E-09, 0.055223333333333187
DataValue, 5, 0.00640649, -6E-11, 1.5000000000000002, 0.10677483333333333, 1E-09, 0.055269999999999979
DataValue, 5, 0.00657297, -7E-11, 1.55, 0.10954950000000001, 1.1666666666666668E-09, 0.055386666666666855
DataValue, 5, 0.0067388100000000005, -7E-11, 1.6, 0.11231350000000001, 1.1666666666666668E-09, 0.055471666666666537
DataValue, 5, 0.0069058, -6E-11, 1.6500000000000001, 0.11509666666666667, 1E-09, 0.055351666666666695
DataValue, 5, 0.0070709200000000005, -7E-11, 1.7000000000000002, 0.11784866666666669, 1.1666666666666668E-09, 0.055201666666666684
DataValue, 5, 0.00723701, -6E-11, 1.7500000000000002, 0.12061683333333334, 1E-09, 0.055433333333333244
DataValue, 5, 0.00740352, -6E-11, 1.8, 0.123392, 1E-09, 0.0554133333333335
DataValue, 5, 0.00756949, -6E-11, 1.85, 0.12615816666666668, 1E-09, 0.055461666666666527
DataValue, 5, 0.00773629, -5.0000000000000008E-11, 1.9000000000000001, 0.12893816666666666, 8.3333333333333345E-10, 0.055589999999999758
DataValue, 5, 0.00790303, -6E-11, 1.9500000000000002, 0.13171716666666666, 1E-09, 0.05562000000000019
DataValue, 5, 0.00807001, -6E-11, 2, 0.13450016666666667, 1E-09, 0.055691666666666757
DataValue, 5, 0.00823718, -7E-11, 2.0500000000000003, 0.13728633333333334, 1.1666666666666668E-09, 0.055536666666666464
DataValue, 5, 0.00840323, -6E-11, 2.1, 0.14005383333333332, 1E-09, 0.055209999999999933
DataValue, 5, 0.00856844, -7E-11, 2.1500000000000004, 0.14280733333333334, 1.1666666666666668E-09, 0.055488333333333313
DataValue, 5, 0.00873616, -6E-11, 2.2, 0.14560266666666666, 1E-09, 0.05591166666666695
DataValue, 5, 0.008903910000000001, -6E-11, 2.25, 0.14839850000000002, 1E-09, 0.055920000000000088
DataValue, 5, 0.00907168, -6E-11, 2.3000000000000003, 0.15119466666666667, 1E-09, 0.055936666666666586
DataValue, 5, 0.009239530000000001, -6E-11, 2.35, 0.15399216666666668, 1E-09, 0.055736666666666664
DataValue, 5, 0.0094061, -6E-11, 2.4000000000000004, 0.15676833333333334, 1E-09, 0.055741666666666807
DataValue, 5, 0.009573980000000001, -6E-11, 2.45, 0.15956633333333337, 1E-09, 0.055983333333333642
DataValue, 5, 0.009742, -6E-11, 2.5, 0.16236666666666669, 1E-09, 0.055864999999999616
DataValue, 5, 0.00990917, -5.0000000000000008E-11, 2.5500000000000003, 0.16515283333333333, 8.3333333333333345E-10, 0.055856666666666506
DataValue, 5, 0.01007714, -5.0000000000000008E-11, 2.6, 0.16795233333333334, 8.3333333333333345E-10, 0.055940000000000108
DataValue, 5, 0.01024481, -6E-11, 2.6500000000000004, 0.17074683333333335, 1E-09, 0.055736666666666664
DataValue, 5, 0.01041156, -5.0000000000000008E-11, 2.7, 0.173526, 8.3333333333333345E-10, 0.056023333333333154
DataValue, 5, 0.01058095, -5.0000000000000008E-11, 2.7500000000000004, 0.17634916666666667, 8.3333333333333345E-10, 0.056331666666666565
DataValue, 5, 0.01074955, -5.0000000000000008E-11, 2.8000000000000003, 0.17915916666666668, 8.3333333333333345E-10, 0.055786666666666963
DataValue, 5, 0.01091567, -5.0000000000000008E-11, 2.85, 0.18192783333333334, 8.3333333333333345E-10, 0.05576166666666655
DataValue, 5, 0.01108412, -5.0000000000000008E-11, 2.9000000000000004, 0.18473533333333334, 8.3333333333333345E-10, 0.056351666666666585
DataValue, 5, 0.01125378, -5.0000000000000008E-11, 2.95, 0.187563, 8.3333333333333345E-10, 0.055938333333333486
DataValue, 5, 0.011419750000000001, -5.0000000000000008E-11, 3.0000000000000004, 0.19032916666666669, 8.3333333333333345E-10, 0.058020000000000245
DataValue, 5, 0.011601900000000002, -5.0000000000000008E-11, 3.0500000000000003, 0.19336500000000004, 8.3333333333333345E-10, 0.058375000000000163
DataValue, 5, 0.011770000000000001, -4.0000000000000004E-11, 3.1, 0.19616666666666668, 6.6666666666666674E-10, 0.055833333333332964
DataValue, 5, 0.0119369, -5.0000000000000008E-11, 3.1500000000000004, 0.19894833333333334, 8.3333333333333345E-10, 0.055183333333333424
DataValue, 5, 0.012101100000000002, -4.0000000000000004E-11, 3.2, 0.20168500000000003, 6.6666666666666674E-10, 0.054583333333333657
DataValue, 5, 0.012264400000000002, -4.0000000000000004E-11, 3.2500000000000004, 0.20440666666666671, 6.6666666666666674E-10, 0.054216666666666531
DataValue, 5, 0.0124264, -4.0000000000000004E-11, 3.3000000000000003, 0.20710666666666669, 6.6666666666666674E-10, 0.05346666666666685
DataValue, 5, 0.012585200000000001, -4.0000000000000004E-11, 3.35, 0.20975333333333338, 6.6666666666666674E-10, 0.052633333333333095
DataValue, 5, 0.0127422, -4.0000000000000004E-11, 3.4000000000000004, 0.21237, 6.6666666666666674E-10, 0.051283333333333132
DataValue, 5, 0.0128929, -5.0000000000000008E-11, 3.45, 0.21488166666666669, 8.3333333333333345E-10, 0.049916666666666956
DataValue, 5, 0.013041700000000002, -4.0000000000000004E-11, 3.5000000000000004, 0.2173616666666667, 6.6666666666666674E-10, 0.048950000000000063
DataValue, 5, 0.013186600000000001, -4.0000000000000004E-11, 3.5500000000000003, 0.2197766666666667, 6.6666666666666674E-10, 0.04671666666666674
DataValue, 5, 0.013322, -3E-11, 3.6, 0.22203333333333336, 5E-10, 0.044716666666666474
DataValue, 5, 0.0134549, -4.0000000000000004E-11, 3.6500000000000004, 0.22424833333333336, 6.6666666666666674E-10, 0.043233333333333138
DataValue, 5, 0.0135814, -3E-11, 3.7, 0.22635666666666668, 5E-10, 0.040283333333333525
DataValue, 5, 0.013696600000000002, -4.0000000000000004E-11, 3.7500000000000004, 0.22827666666666671, 6.6666666666666674E-10, 0.0378000000000003
DataValue, 5, 0.013808200000000001, -3E-11, 3.8000000000000003, 0.23013666666666671, 5E-10, 0.035949999999999836
DataValue, 5, 0.0139123, -4.0000000000000004E-11, 3.8500000000000005, 0.2318716666666667, 6.6666666666666674E-10, 0.03398333333333306
DataValue, 5, 0.014012100000000001, -3E-11, 3.9000000000000004, 0.23353500000000002, 5E-10, 0.032083333333333242
DataValue, 5, 0.0141048, -3E-11, 3.95, 0.23508, 5E-10, 0.029483333333333687
DataValue, 5, 0.014189000000000002, -4.0000000000000004E-11, 4, 0.23648333333333338, 6.6666666666666674E-10, 0.027616666666666755
DataValue, 5, 0.014270500000000002, -3E-11, 4.0500000000000007, 0.2378416666666667, 5E-10, 0.0257499999999998
DataValue, 5, 0.014343500000000002, -3E-11, 4.1000000000000005, 0.23905833333333337, 5E-10, 0.024000000000000219
DataValue, 5, 0.014414500000000002, -2.0000000000000002E-11, 4.15, 0.24024166666666671, 3.3333333333333337E-10, 0.022516666666666598
DataValue, 5, 0.014478600000000001, -3E-11, 4.2, 0.24131000000000002, 5E-10, 0.020916666666666379
DataValue, 5, 0.01454, -2.0000000000000002E-11, 4.25, 0.24233333333333335, 3.3333333333333337E-10, 0.020216666666666609
DataValue, 5, 0.0145999, -2.0000000000000002E-11, 4.3000000000000007, 0.2433316666666667, 3.3333333333333337E-10, 0.0191333333333334
DataValue, 5, 0.0146548, -2.0000000000000002E-11, 4.3500000000000005, 0.2442466666666667, 3.3333333333333337E-10, 0.017783333333333602
DataValue, 5, 0.014706600000000002, -2.0000000000000002E-11, 4.4, 0.24511000000000005, 3.3333333333333337E-10, 0.015750000000000264
DataValue, 5, 0.014749300000000002, -1.0000000000000001E-11, 4.45, 0.24582166666666672, 1.6666666666666669E-10, 0.01398333333333312
DataValue, 5, 0.014790500000000002, -2.0000000000000002E-11, 4.5, 0.24650833333333336, 3.3333333333333337E-10, 0.014133333333333146
DataValue, 5, 0.014834100000000001, -1.0000000000000001E-11, 4.5500000000000007, 0.24723500000000004, 1.6666666666666669E-10, 0.013116666666666485
DataValue, 5, 0.0148692, -1.0000000000000001E-11, 4.6000000000000005, 0.24782, 1.6666666666666669E-10, 0.011149999999999811
DataValue, 5, 0.014901000000000001, -1.0000000000000001E-11, 4.65, 0.24835000000000002, 1.6666666666666669E-10, 0.010350000000000118
DataValue, 5, 0.014931300000000002, -1.0000000000000001E-11, 4.7, 0.24885500000000002, 1.6666666666666669E-10, 0.0099000000000002211
DataValue, 5, 0.014960400000000002, -1.0000000000000001E-11, 4.75, 0.24934000000000003, 1.6666666666666669E-10, 0.0093500000000001412
DataValue, 5, 0.014987400000000001, 0, 4.8000000000000007, 0.24979000000000004, 0, 0.0084333333333333031
DataValue, 5, 0.015011000000000002, 0, 4.8500000000000005, 0.25018333333333337, 0, 0.0074833333333332577
DataValue, 5, 0.015032300000000002, 0, 4.9, 0.25053833333333336, 0, 0.006950000000000036
DataValue, 5, 0.0150527, 0, 4.95, 0.25087833333333337, 0, 0.0067666666666666118
DataValue, 5, 0.015072900000000002, 1.0000000000000001E-11, 5, 0.251215, 1.6666666666666669E-10, 0.00673333333333306
