
SetupTitle, Breakdown
PrimitiveTest, I/V Sweep
DataValue, 379.9995, -6, 1.1279999999999999E-10, -2.185E-11, 1.8799999999999997E-09, 3.641666666666667E-10
DataValue, 385.0005, -6, 1.445E-10, -1.835E-11, 2.4083333333333334E-09, 3.0583333333333336E-10
DataValue, 390, -6, 1.7946600000000002E-10, -3.005E-11, 2.9911000000000006E-09, 5.0083333333333341E-10
DataValue, 394.9995, -6, 2.15413E-10, -3.02E-11, 3.5902166666666667E-09, 5.0333333333333335E-10
DataValue, 400.0005, -6, 2.26222E-10, -3.22E-11, 3.7703666666666672E-09, 5.3666666666666678E-10
DataValue, 405, -6, 2.54741E-10, -3.675E-11, 4.2456833333333335E-09, 6.1250000000000011E-10
DataValue, 409.9995, -6, 2.422E-10, -2.37E-11, 4.0366666666666666E-09, 3.9500000000000003E-10
DataValue, 415.0005, -6, 2.80121E-10, -1.485E-11, 4.6686833333333342E-09, 2.4749999999999997E-10
DataValue, 420, -6, 2.9709E-10, -2.8E-11, 4.9515000000000005E-09, 4.6666666666666671E-10
DataValue, 424.9995, -6, 3.25819E-10, -1.3950000000000001E-11, 5.4303166666666666E-09, 2.3250000000000002E-10
DataValue, 430.0005, -6, 3.1499999999999995E-10, -1.2950000000000001E-11, 5.249999999999999E-09, 2.1583333333333336E-10
DataValue, 435, -6, 3.2E-10, -2.64E-11, 5.3333333333333331E-09, 4.4000000000000003E-10
DataValue, 439.9995, -6, 3.2919999999999996E-10, -2.135E-11, 5.4866666666666663E-09, 3.5583333333333335E-10
DataValue, 445.0005, -6, 3.7819800000000003E-10, -2.205E-11, 6.3033000000000008E-09, 3.675E-10
DataValue, 450, -6, 4.1930000000000004E-10, -2.72E-11, 6.9883333333333345E-09, 4.5333333333333337E-10
DataValue, 454.9995, -6, 4.5473500000000003E-10, -2.485E-11, 7.5789166666666672E-09, 4.1416666666666668E-10
DataValue, 460.0005, -6, 5.4909E-10, -4.905E-11, 9.1515000000000009E-09, 8.175E-10
DataValue, 465, -6, 5.9649E-10, -7.315E-11, 9.9415E-09, 1.2191666666666668E-09
DataValue, 469.9995, -6, 6.3564E-10, -5.705E-11, 1.0594E-08, 9.5083333333333341E-10
DataValue, 475.0005, -6, 6.9018E-10, -5.925E-11, 1.1503E-08, 9.8750000000000016E-10
DataValue, 480, -6, 7.5328E-10, -6.27E-11, 1.2554666666666668E-08, 1.045E-09
DataValue, 484.9995, -6, 8.6331E-10, -7.3850000000000009E-11, 1.43885E-08, 1.2308333333333335E-09
DataValue, 490.0005, -6, 9.2999999999999989E-10, -6.41E-11, 1.55E-08, 1.0683333333333335E-09
DataValue, 495, -6, 1.0773999999999998E-09, -8.04E-11, 1.7956666666666664E-08, 1.3400000000000001E-09
DataValue, 499.9995, -6, 1.28429E-09, -7.695E-11, 2.1404833333333334E-08, 1.2825E-09
DataValue, 505.0005, -6, 1.49237E-09, -7.1400000000000007E-11, 2.4872833333333336E-08, 1.1900000000000002E-09
DataValue, 510, -6, 1.6868E-09, -8.325E-11, 2.8113333333333334E-08, 1.3875E-09
DataValue, 514.9995, -6, 1.99246E-09, -8.77E-11, 3.3207666666666666E-08, 1.4616666666666669E-09
DataValue, 520.0005, -6, 2.37314E-09, -8.355E-11, 3.9552333333333332E-08, 1.3925E-09
DataValue, 525, -6, 2.8986E-09, -9.05E-11, 4.831E-08, 1.5083333333333334E-09
DataValue, 529.9995, -6, 3.4125999999999996E-09, -1.061E-10, 5.6876666666666664E-08, 1.7683333333333333E-09
DataValue, 535.0005, -6, 4.1837999999999996E-09, -9.9000000000000007E-11, 6.972999999999999E-08, 1.65E-09
DataValue, 540, -6, 6.673E-09, -1.133E-10, 1.1121666666666667E-07, 1.8883333333333335E-09
DataValue, 544.9995, -6, 1.4828199999999998E-08, -1.1935E-10, 2.4713666666666666E-07, 1.9891666666666668E-09
DataValue, 550.0005, -6, 3.9889399999999996E-08, -1.4045000000000002E-10, 6.6482333333333331E-07, 2.3408333333333338E-09
DataValue, 555, -6, 2.2326E-07, -1.657E-10, 3.721E-06, 2.7616666666666667E-09
DataValue, 559.9995, -6, 5.49179E-07, -1.7315000000000002E-10, 9.1529833333333336E-06, 2.8858333333333339E-09
DataValue, 565.0005, -6, 1.7568800000000002E-06, -2.035E-10, 2.9281333333333337E-05, 3.3916666666666668E-09
DataValue, 570, -6, 2.0089600000000003E-06, -1.7415000000000001E-10, 3.348266666666667E-05, 2.9025000000000003E-09
DataValue, 574.9995, -6, 3.1347200000000004E-06, -2.372E-10, 5.224533333333334E-05, 3.9533333333333342E-09
DataValue, 580.0005, -6, 4.6901E-06, -3.1055000000000003E-10, 7.8168333333333335E-05, 5.175833333333334E-09
DataValue, 585, -6, 7.65841E-06, -2.8095E-10, 0.00012764016666666668, 4.6825E-09
DataValue, 589.9995, -6, 1.0185900000000002E-05, -1.5145E-10, 0.00016976500000000003, 2.5241666666666667E-09
DataValue, 595.0005, -6, 1.0105010000000001E-05, -7.605E-11, 0.00016841683333333336, 1.2675E-09
